"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",24,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,"AMD Ryzen Threadripper PRO 5945WX 12-Cores","CPU","AMD Ryzen Threadripper PRO 5945WX 12-Cores",""
1,1,"GPU",0,240,0,2147487744,10,64,0,64,64,1,60,4,4,1,16,4,32,90006,4098,26273,25344,0,128,2,0,8,24,4760,1725,145,481,2893259392,15,40,141,1024,4294967295,0,0,27093,1024,1024,1024,4294967295,4294967295,4294967295,"gfx906","AMD","AMD Instinct MI50/MI60","vega20"
2,2,"GPU",0,240,0,2147487808,10,64,0,64,64,1,60,4,4,1,16,4,32,90006,4098,26273,17152,0,129,2,0,8,24,4760,1725,145,481,2893259392,15,40,141,1024,4294967295,0,0,45516,1024,1024,1024,4294967295,4294967295,4294967295,"gfx906","AMD","AMD Instinct MI50/MI60","vega20"
3,3,"GPU",0,144,0,2147487872,16,64,0,64,32,1,72,8,4,2,10,2,32,100300,4098,29631,768,0,130,4,0,8,8,4760,2575,86,132,675521152,18,32,143,1024,4294967295,0,0,17091,1024,1024,1024,4294967295,4294967295,4294967295,"gfx1030","AMD","AMD Radeon RX 6800 XT","sienna_cichlid"
